Total Tourists,Year,Monthly Data,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Kerela”,Trains to “Kerela”,Category : Hotels,Rain,T_Max,T_Min
1531279,,2019-09,21,67,61,62,56,9,14,1,467.8957,29.579,19.875
1688298,,2019-10,20,70,50,50,51,11,15,5,337.9965,29.7552,19.2936
1773738,,2019-11,20,80,49,50,51,5,16,3,94.8329,29.5375,17.978
2107766,,2019-12,21,85,49,54,49,10,17,4,40.2491,28.8493,17.7629
1900360,2020,2020-01,22,75,53,52,49,9,13,3,0,31.0955,17.0231
1509474,,2020-02,22,65,50,46,55,12,12,4,0,31.412,17.7706
623906,,2020-03,25,44,54,65,49,5,13,2,73.6677,33.289,19.5289
4098,,2020-04,27,29,39,99,36,4,2,0,182.4009,33.5633,20.1805
7445,,2020-05,26,38,49,100,55,6,23,3,132.3472,33.7228,20.0519
29283,,2020-06,35,35,53,79,66,3,11,3,511.2679,30.5719,19.6239
40577,,2020-07,20,29,61,72,74,9,6,0,643.9695,29.3458,19.555
61524,,2020-08,23,41,85,79,71,0,6,2,928.4965,30.0429,19.1598
126764,,2020-09,19,36,63,66,80,0,10,1,714.8538,29.2319,19.3163
211472,,2020-10,18,41,56,60,81,5,9,2,200.7613,29.8407,18.9826
331258,,2020-11,22,46,64,62,93,0,9,4,111.7299,29.5004,17.4055
484186,,2020-12,23,65,59,74,89,4,7,4,71.1704,28.6821,17.1188
792483,2021,2021-01,24,65,64,73,100,7,7,7,77.9505,29.5494,16.7283
732371,,2021-02,22,51,59,58,93,10,11,2,14.7565,31.4065,16.2842
689825,,2021-03,22,51,69,59,89,5,7,4,43.7928,34.0174,18.1884
374277,,2021-04,20,41,52,60,81,10,7,1,88.6775,33.096,20.2229
66880,,2021-05,26,36,45,75,63,0,9,0,477.6242,32.3676,19.6599
120771,,2021-06,22,41,51,68,73,5,7,0,448.5853,30.6305,19.3863
418243,,2021-07,23,43,57,60,85,7,7,3,930.7405,29.8693,18.8286
631141,,2021-08,23,49,59,59,85,6,5,1,492.9498,29.0616,19.2593
724011,,2021-09,20,44,46,50,78,6,6,2,431.8231,30.0933,19.5562
863626,,2021-10,19,48,48,48,74,0,8,2,579.0979,29.5713,19.8218
940148,,2021-11,21,50,50,53,77,20,10,4,340.4455,28.5802,18.7234
1244328,,2021-12,19,51,48,58,66,0,9,4,91.6556,28.5656,16.9066
1244814,2022,2022-01,18,51,50,64,77,4,6,3,3.919,30.2061,16.8381
1174193,,2022-02,20,64,52,64,78,12,9,4,3.2593,31.3163,17.3475
1419354,,2022-03,19,71,59,64,74,5,10,4,49.0941,32.8271,17.6096
1629023,,2022-04,18,81,58,65,78,7,12,4,168.1827,32.8408,19.5771
1932113,,2022-05,20,88,58,61,74,9,15,3,471.1308,32.1943,19.0016
1602056,,2022-06,20,83,45,65,73,5,13,3,330.6461,30.4239,19.3492
1465092,,2022-07,21,84,49,59,69,7,10,3,1181.1919,29.5653,18.7577
1518583,,2022-08,20,81,62,61,72,7,12,1,969.5651,29.9072,18.8279
1602462,,2022-09,18,86,47,65,63,4,12,3,405.0702,30.1213,19.3321
1775547,,2022-10,19,83,48,58,64,9,13,4,332.0119,29.6674,18.3958
1724940,,2022-11,19,84,39,58,54,4,13,5,190.953,28.8275,16.7351
2124788,,2022-12,18,88,45,67,58,7,15,3,138.8981,29.4438,16.6467
