,Year,Month,Total Tourists,Category : All,Category : Travel,Category : Shopping,Category : Food and Drink,Category : Auto and Vehicles,Flights to “Kerela”,Trains to “Kerela”,Category : Hotels,Rain,T_Max,T_Min
97,2018,Feb,1378781,33,67,54,65,52,21,19,6,27.7061,31.4577,15.932
98,2018,Mar,1349162,31,72,46,67,52,21,22,5,64.5,32.4812,17.7959
99,2018,Apr,1556044,28,80,52,60,49,12,24,5,60.8279,32.834,20.2416
100,2018,May,1639759,35,82,46,56,58,0,22,4,384.226,31.4821,19.5685
101,2018,Jun,1120984,30,69,46,58,51,6,15,7,611.8594,29.903,19.2907
102,2018,Jul,1245862,28,76,49,54,57,11,21,6,806.1457,29.6832,18.5859
103,2018,Aug,1055698,100,100,58,73,51,6,44,5,905.2106,28.8501,19.2604
104,2018,Sep,1164214,28,56,44,51,56,3,14,2,118.3666,30.7625,19.1575
105,2018,Oct,1354291,23,59,43,47,49,3,13,3,273.2087,29.993,18.0567
106,2018,Nov,1464076,21,64,44,50,48,10,15,3,119.8589,29.9608,17.5342
107,2018,Dec,1781733,20,71,43,52,45,0,16,6,46.888,29.7091,17.3679
108,2019,Jan,1676139,21,67,42,51,50,6,16,3,0.0,31.4928,15.0054
109,2019,Feb,1483689,20,63,43,50,46,4,11,4,11.3686,32.4672,16.7965
110,2019,Mar,1453109,19,69,42,48,47,11,11,9,5.129,34.1201,18.9008
111,2019,Apr,1699950,20,74,44,47,41,5,17,3,163.2889,34.3627,19.8275
112,2019,May,1868938,24,75,38,45,45,15,15,2,52.7521,33.7612,20.6685
113,2019,Jun,1387171,23,74,38,48,48,14,12,3,205.9224,31.6159,20.3406
114,2019,Jul,1508542,21,70,41,48,46,10,13,6,337.2729,29.8465,18.8247
115,2019,Aug,1395385,23,74,60,48,53,5,27,2,1269.6206,29.7826,18.9168
116,2019,Sep,1531279,21,67,61,62,56,9,14,1,467.8957,29.579,19.875
117,2019,Oct,1688298,20,70,50,50,51,11,15,5,337.9965,29.7552,19.2936
118,2019,Nov,1773738,20,80,49,50,51,5,16,3,94.8329,29.5375,17.978
119,2019,Dec,2107766,21,85,49,54,49,10,17,4,40.2491,28.8493,17.7629
120,2020,Jan,1900360,22,75,53,52,49,9,13,3,0.0,31.0955,17.0231
121,2020,Feb,1509474,22,65,50,46,55,12,12,4,0.0,31.412,17.7706
122,2020,Mar,623906,25,44,54,65,49,5,13,2,73.6677,33.289,19.5289
123,2020,Apr,4098,27,29,39,99,36,4,2,0,182.4009,33.5633,20.1805
124,2020,May,7445,26,38,49,100,55,6,23,3,132.3472,33.7228,20.0519
125,2020,Jun,29283,35,35,53,79,66,3,11,3,511.2679,30.5719,19.6239
126,2020,Jul,40577,20,29,61,72,74,9,6,0,643.9695,29.3458,19.555
127,2020,Aug,61524,23,41,85,79,71,0,6,2,928.4965,30.0429,19.1598
128,2020,Sep,126764,19,36,63,66,80,0,10,1,714.8538,29.2319,19.3163
129,2020,Oct,211472,18,41,56,60,81,5,9,2,200.7613,29.8407,18.9826
130,2020,Nov,331258,22,46,64,62,93,0,9,4,111.7299,29.5004,17.4055
131,2020,Dec,484186,23,65,59,74,89,4,7,4,71.1704,28.6821,17.1188
132,2021,Jan,792483,24,65,64,73,100,7,7,7,77.9505,29.5494,16.7283
133,2021,Feb,732371,22,51,59,58,93,10,11,2,14.7565,31.4065,16.2842
134,2021,Mar,689825,22,51,69,59,89,5,7,4,43.7928,34.0174,18.1884
135,2021,Apr,374277,20,41,52,60,81,10,7,1,88.6775,33.096,20.2229
136,2021,May,66880,26,36,45,75,63,0,9,0,477.6242,32.3676,19.6599
137,2021,Jun,120771,22,41,51,68,73,5,7,0,448.5853,30.6305,19.3863
138,2021,Jul,418243,23,43,57,60,85,7,7,3,930.7405,29.8693,18.8286
139,2021,Aug,631141,23,49,59,59,85,6,5,1,492.9498,29.0616,19.2593
140,2021,Sep,724011,20,44,46,50,78,6,6,2,431.8231,30.0933,19.5562
141,2021,Oct,863626,19,48,48,48,74,0,8,2,579.0979,29.5713,19.8218
142,2021,Nov,940148,21,50,50,53,77,20,10,4,340.4455,28.5802,18.7234
143,2021,Dec,1244328,19,51,48,58,66,0,9,4,91.6556,28.5656,16.9066
144,2022,Jan,1244814,18,51,50,64,77,4,6,3,3.919,30.2061,16.8381
145,2022,Feb,1174193,20,64,52,64,78,12,9,4,3.2593,31.3163,17.3475
146,2022,Mar,1419354,19,71,59,64,74,5,10,4,49.0941,32.8271,17.6096
147,2022,Apr,1629023,18,81,58,65,78,7,12,4,168.1827,32.8408,19.5771
148,2022,May,1932113,20,88,58,61,74,9,15,3,471.1308,32.1943,19.0016
149,2022,Jun,1602056,20,83,45,65,73,5,13,3,330.6461,30.4239,19.3492
150,2022,Jul,1465092,21,84,49,59,69,7,10,3,1181.1919,29.5653,18.7577
151,2022,Aug,1518583,20,81,62,61,72,7,12,1,969.5651,29.9072,18.8279
152,2022,Sep,1602462,18,86,47,65,63,4,12,3,405.0702,30.1213,19.3321
153,2022,Oct,1775547,19,83,48,58,64,9,13,4,332.0119,29.6674,18.3958
154,2022,Nov,1724940,19,84,39,58,54,4,13,5,190.953,28.8275,16.7351
155,2022,Dec,2124788,18,88,45,67,58,7,15,3,138.8981,29.4438,16.6467
